experience_level,employment_type,job_title,salary,company_location,company_size,Enterprise_size
SE,FT,Principal Data Scientist,80000,ES,L,Large_enterprise
MI,CT,ML Engineer,30000,US,S,Small_enterprise
MI,CT,ML Engineer,25500,US,S,Small_enterprise
SE,FT,Data Scientist,175000,CA,M,Medium_enterprise
SE,FT,Data Scientist,120000,CA,M,Medium_enterprise
SE,FT,Applied Scientist,222200,US,L,Large_enterprise
SE,FT,Applied Scientist,136000,US,L,Large_enterprise
SE,FT,Data Scientist,219000,CA,M,Medium_enterprise
SE,FT,Data Scientist,141000,CA,M,Medium_enterprise
SE,FT,Data Scientist,147100,US,M,Medium_enterprise
SE,FT,Data Scientist,90700,US,M,Medium_enterprise
SE,FT,Data Analyst,130000,US,M,Medium_enterprise
SE,FT,Data Analyst,100000,US,M,Medium_enterprise
EN,FT,Applied Scientist,213660,US,L,Large_enterprise
EN,FT,Applied Scientist,130760,US,L,Large_enterprise
SE,FT,Data Modeler,147100,US,M,Medium_enterprise
SE,FT,Data Modeler,90700,US,M,Medium_enterprise
SE,FT,Data Scientist,170000,US,M,Medium_enterprise
SE,FT,Data Scientist,150000,US,M,Medium_enterprise
MI,FT,Data Analyst,150000,US,M,Medium_enterprise
MI,FT,Data Analyst,110000,US,M,Medium_enterprise
SE,FT,Research Engineer,275000,DE,M,Medium_enterprise
SE,FT,Research Engineer,174000,DE,M,Medium_enterprise
SE,FT,Analytics Engineer,230000,GB,M,Medium_enterprise
SE,FT,Analytics Engineer,143200,GB,M,Medium_enterprise
SE,FT,Business Intelligence Engineer,225000,US,M,Medium_enterprise
SE,FT,Business Intelligence Engineer,156400,US,M,Medium_enterprise
SE,FT,Machine Learning Engineer,200000,US,M,Medium_enterprise
SE,FT,Machine Learning Engineer,130000,US,M,Medium_enterprise
SE,FT,Data Strategist,90000,CA,M,Medium_enterprise
SE,FT,Data Strategist,72000,CA,M,Medium_enterprise
SE,FT,Data Engineer,253200,US,M,Medium_enterprise
SE,FT,Data Engineer,90700,US,M,Medium_enterprise
SE,FT,Computer Vision Engineer,342810,US,M,Medium_enterprise
SE,FT,Computer Vision Engineer,184590,US,M,Medium_enterprise
MI,FT,Data Engineer,162500,US,M,Medium_enterprise
MI,FT,Data Engineer,130000,US,M,Medium_enterprise
MI,FT,Data Analyst,105380,US,M,Medium_enterprise
MI,FT,Data Analyst,64500,US,M,Medium_enterprise
EN,FT,Data Quality Analyst,100000,NG,L,Large_enterprise
EN,FT,Compliance Data Analyst,30000,NG,L,Large_enterprise
MI,FT,Machine Learning Engineer,1650000,IN,L,Large_enterprise
EN,FT,Applied Scientist,204620,US,L,Large_enterprise
EN,FT,Applied Scientist,110680,US,L,Large_enterprise
SE,FT,Data Engineer,270703,US,M,Medium_enterprise
SE,FT,Data Engineer,221484,US,M,Medium_enterprise
SE,FT,Data Scientist,212750,US,M,Medium_enterprise
SE,FT,Data Scientist,185000,US,M,Medium_enterprise
SE,FT,Data Scientist,262000,US,M,Medium_enterprise
SE,FT,Data Scientist,245000,US,M,Medium_enterprise
SE,FT,Data Scientist,275300,US,M,Medium_enterprise
SE,FT,Data Scientist,183500,US,M,Medium_enterprise
SE,FT,Data Scientist,218500,US,M,Medium_enterprise
SE,FT,Data Scientist,199098,US,M,Medium_enterprise
SE,FT,Data Engineer,203300,US,M,Medium_enterprise
SE,FT,Data Engineer,123600,US,M,Medium_enterprise
SE,FT,Research Engineer,189110,US,M,Medium_enterprise
SE,FT,Research Engineer,139000,US,M,Medium_enterprise
EX,FT,Data Scientist,258750,US,M,Medium_enterprise
EX,FT,Data Scientist,185000,US,M,Medium_enterprise
SE,FT,Data Engineer,231500,US,M,Medium_enterprise
SE,FT,Data Engineer,166000,US,M,Medium_enterprise
SE,FT,Data Scientist,172500,US,M,Medium_enterprise
SE,FT,Data Scientist,110500,US,M,Medium_enterprise
SE,FT,Data Engineer,238000,US,M,Medium_enterprise
SE,FT,Data Engineer,176000,US,M,Medium_enterprise
SE,FT,Data Engineer,237000,US,M,Medium_enterprise
SE,FT,Data Engineer,201450,US,M,Medium_enterprise
SE,FT,Applied Scientist,309400,US,L,Large_enterprise
SE,FT,Applied Scientist,159100,US,L,Large_enterprise
SE,FT,Data Engineer,115000,US,M,Medium_enterprise
SE,FT,Data Engineer,81500,US,M,Medium_enterprise
SE,FT,Data Scientist,237000,US,M,Medium_enterprise
SE,FT,Data Scientist,201450,US,M,Medium_enterprise
SE,FT,Computer Vision Engineer,280000,US,M,Medium_enterprise
SE,FT,Computer Vision Engineer,210000,US,M,Medium_enterprise
SE,FT,Data Architect,280100,US,M,Medium_enterprise
SE,FT,Data Architect,168100,US,M,Medium_enterprise
SE,FT,Data Engineer,193500,US,M,Medium_enterprise
SE,FT,Data Engineer,139000,US,M,Medium_enterprise
MI,FT,Data Scientist,510000,HK,L,Large_enterprise
SE,FT,Machine Learning Engineer,150000,US,M,Medium_enterprise
MI,FT,Applied Machine Learning Engineer,65000,DE,S,Small_enterprise
EN,FT,AI Developer,300000,IN,L,Large_enterprise
MI,FT,Machine Learning Engineer,90000,NL,L,Large_enterprise
SE,FT,Business Intelligence Engineer,185900,US,M,Medium_enterprise
SE,FT,Business Intelligence Engineer,129300,US,M,Medium_enterprise
SE,FT,Data Engineer,225000,US,M,Medium_enterprise
SE,FT,Data Engineer,175000,US,M,Medium_enterprise
SE,FT,Data Engineer,185000,US,M,Medium_enterprise
